name,iso,dev_develping,region
Aberdeenshire,GBR,developed,Europe
Acquappesa,ITA,developed,Europe
Adelaide,AUS,developed,East Asia and the Pacific
"Alameda, CA",USA,developed,North America
Amman,JOR,developing,Middle East and North Africa
"Arlington, VA",USA,developed,North America
Asse,BEL,developed,Europe
"Austin, TX",USA,developed,North America
Bagnoli di Sopra,ITA,developed,Europe
Barcelona,ESP,developed,Europe
Beersel,BEL,developed,Europe
Belfiore,ITA,developed,Europe
"Birmingham, UK",GBR,developed,Europe
Bolzano,ITA,developed,Europe
"Boulder, CO",USA,developed,North America
Bristol,GBR,developed,Europe
Buenos Aires,ARG,developing,Latin America and Caribbean
Byron Shire,AUS,developed,East Asia and the Pacific
"Cambridge, MA",USA,developed,North America
Cartura,ITA,developed,Europe
Casalserugo,ITA,developed,Europe
Commune de Paliseul,BEL,developed,Europe
Copenhagen,DNK,developed,Europe
"Denver, CO",USA,developed,North America
Dilbeek,BEL,developed,Europe
Durbuy,BEL,developed,Europe
Eilat ISRAEL,ISR,developing,Middle East and North Africa
Elsinore,DNK,developed,Europe
Espoo,FIN,developed,Europe
"Eugene, OR",USA,developed,North America
"Evanston, IL",USA,developed,North America
Fontanafredda,ITA,developed,Europe
"Fremont, CA",USA,developed,North America
Glasgow,GBR,developed,Europe
Gothenburg,SWE,developed,Europe
Granze (Pd) - Italy,ITA,developed,Europe
Haarlem,NLD,developed,Europe
Halle,BEL,developed,Europe
Helsinki,FIN,developed,Europe
Herbeumont,BEL,developed,Europe
Isola D’Elba,ITA,developed,Europe
Joensuu,FIN,developed,Europe
Jurmala,LVA,developed,Europe
Kortenaken,BEL,developed,Europe
La Puebla de Cazalla,ESP,developed,Europe
Landen,BEL,developed,Europe
Lennik,BEL,developed,Europe
Liedekerke,BEL,developed,Europe
Linter,BEL,developed,Europe
Lisbon,PRT,developed,Europe
"Los Angeles, CA",USA,developed,North America
Macerata Campania,ITA,developed,Europe
"Medford, MA",USA,developed,North America
Melbourne,AUS,developed,East Asia and the Pacific
Menjez,LBN,developing,Middle East and North Africa
Merlara,ITA,developed,Europe
Monrupino-Repentabor,ITA,developed,Europe
Monte di Malo,ITA,developed,Europe
Moruzzo,ITA,developed,Europe
Nevele,BEL,developed,Europe
"New York City, NY",USA,developed,North America
Oslo,NOR,developed,Europe
Oulu,FIN,developed,Europe
Palma,ESP,developed,Europe
Porsgrunn,NOR,developed,Europe
"Providence, RI",USA,developed,North America
Riner,ESP,developed,Europe
Roveredo In Piano,ITA,developed,Europe
"Salt Lake City, UT",USA,developed,North America
"San Francisco, CA",USA,developed,North America
San Giorgio di Nogaro,ITA,developed,Europe
San Pietro Viminario (Pd),ITA,developed,Europe
San Polo d'Enza,ITA,developed,Europe
Sant'Elena,ITA,developed,Europe
Sant'urbano,ITA,developed,Europe
"Santa Cruz, CA",USA,developed,North America
Socchieve,ITA,developed,Europe
Solesino,ITA,developed,Europe
"Somerville, MA",USA,developed,North America
Somma Lombardo,ITA,developed,Europe
Sønderborg,DNK,developed,Europe
South Tyneside,GBR,developed,Europe
Sydney,AUS,developed,East Asia and the Pacific
Tirana,ALB,developing,Eastern Europe and Central Asia
Turku,FIN,developed,Europe
"Urbana, IL",USA,developed,North America
Utrecht,NLD,developed,Europe
Vaasa,FIN,developed,Europe
Vantaa,FIN,developed,Europe
Villa Literno,ITA,developed,Europe
Vimodrone,ITA,developed,Europe
Washington D.C.,USA,developed,North America
Wyndham,AUS,developed,East Asia and the Pacific
Aalborg,DNK,developed,Europe
Aarhus,DNK,developed,Europe
Ærø,DNK,developed,Europe
Albairate,ITA,developed,Europe
"Albany, NY",USA,developed,North America
Albertslund,DNK,developed,Europe
"Ann Arbor, MI",USA,developed,North America
Arzana,ITA,developed,Europe
"Asheville, NC",USA,developed,North America
"Aspen, CO",USA,developed,North America
"Atlanta, GA",USA,developed,North America
Averara,ITA,developed,Europe
Balones,ESP,developed,Europe
Balti,MDA,developing,Eastern Europe and Central Asia
Basso Sulcis,ITA,developed,Europe
"Berkeley, CA",USA,developed,North America
Berlin,DEU,developed,Europe
"Blacksburg, VA",USA,developed,North America
"Boston, MA",USA,developed,North America
Botkyrka,SWE,developed,Europe
Bracca,ITA,developed,Europe
Braslau,BLR,developed,Eastern Europe and Central Asia
"Breda, Netherlands",NLD,developed,Europe
Brugge,BEL,developed,Europe
"Burlingame, CA",USA,developed,North America
Cajnice,BIH,developing,Eastern Europe and Central Asia
"Calgary, AB",CAN,developed,North America
Carona,ITA,developed,Europe
"Charlotte, NC",USA,developed,North America
Cheremule,ITA,developed,Europe
"Chicago, IL",USA,developed,North America
"Cincinnati, OH",USA,developed,North America
"Cleveland, OH",USA,developed,North America
"Cupertino, CA",USA,developed,North America
Delft,NLD,developed,Europe
Dossena,ITA,developed,Europe
Durban,ZAF,developing,Sub-Saharan Africa
"Edina, MN",USA,developed,North America
Elini,ITA,developed,Europe
"Emeryville, CA",USA,developed,North America
Essen,DEU,developed,Europe
"Flagstaff, AZ",USA,developed,North America
"Fort Collins, CO",USA,developed,North America
Frankenthal,DEU,developed,Europe
Frederikshavn,DNK,developed,Europe
Giave,ITA,developed,Europe
Gorga,ESP,developed,Europe
Groningen,NLD,developed,Europe
Halifax,CAN,developed,North America
Hanau,DEU,developed,Europe
Hannover,DEU,developed,Europe
"Hayward, CA",USA,developed,North America
Heidelberg,DEU,developed,Europe
Høje-Taastrup,DNK,developed,Europe
"Houston, TX",USA,developed,North America
"Indianapolis, IN",USA,developed,North America
Ios (Aegean Islands),GRC,developed,Europe
Isola di Fondra,ITA,developed,Europe
Izegem,BEL,developed,Europe
Jolanda di Savoia,ITA,developed,Europe
Kaiserslautern,DEU,developed,Europe
"Knoxville, TN",USA,developed,North America
Korthi (Aegean Islands),GRC,developed,Europe
Kozloduy,BGR,developed,Europe
Kristianstad,SWE,developed,Europe
Kruibeke,BEL,developed,Europe
Kungsbacka,SWE,developed,Europe
Leeds,GBR,developed,Europe
Lessebo,SWE,developed,Europe
Leuven,BEL,developed,Europe
"Lexington, MA",USA,developed,North America
Lipsi (Aagen Islands),GRC,developed,Europe
Loiri Porto San Paolo,ITA,developed,Europe
"London, UK",GBR,developed,Europe
"Louisville, KY",USA,developed,North America
Maldegem,BEL,developed,Europe
Manchester,GBR,developed,Europe
Mezzoldo,ITA,developed,Europe
Mississauga,CAN,developed,North America
Moio de Calvi,ITA,developed,Europe
Monteleone Rocca Doria,ITA,developed,Europe
Monterenzio,ITA,developed,Europe
Mornington Peninsula Shire,AUS,developed,East Asia and the Pacific
"New Bedford, MA",USA,developed,North America
Nikopol,UKR,developed,Eastern Europe and Central Asia
Nisyros (Aegean Islands),GRC,developed,Europe
Orebro,SWE,developed,Europe
"Orlando, FL",USA,developed,North America
Ornica,ITA,developed,Europe
Ossana,ITA,developed,Europe
"Palo Alto, CA",USA,developed,North America
Paris,FRA,developed,Europe
Pedro Abad,ESP,developed,Europe
Pellizzano,ITA,developed,Europe
"Philadelphia, PA",USA,developed,North America
Piazzatorre,ITA,developed,Europe
Piazzolo,ITA,developed,Europe
"Pittsburgh, PA",USA,developed,North America
Pontecchio Polesine,ITA,developed,Europe
"Portland, OR",USA,developed,North America
Region Zuid-West-Vlaanderen,BEL,developed,Europe
Riga,LVA,developed,Europe
Ringkøbing-Skjern,DNK,developed,Europe
Roncobello,ITA,developed,Europe
"Sacramento, CA",USA,developed,North America
Samsø,DNK,developed,Europe
"San Isidro, Spain",ESP,developed,Europe
Sant'Anna Arresi,ITA,developed,Europe
Santa Brigida,ITA,developed,Europe
"Sarasota, FL",USA,developed,North America
Sartirana Lomellina,ITA,developed,Europe
Saskatoon,CAN,developed,North America
Serre,ITA,developed,Europe
Seulo,ITA,developed,Europe
Skive,DNK,developed,Europe
Skyros Island,GRC,developed,Europe
Somoniyon,TJK,developing,Eastern Europe and Central Asia
"Sonoma, CA",USA,developed,North America
"St. Catharines, ON",CAN,developed,North America
Stockholm,SWE,developed,Europe
"Tacoma, WA",USA,developed,North America
Taleggio,ITA,developed,Europe
Tampere,FIN,developed,Europe
Teulada,ESP,developed,Europe
Tibi,ESP,developed,Europe
Tilburg,NLD,developed,Europe
Trondheim,NOR,developed,Europe
