city,country_code
Pollina ,IT
Asse ,BE
Maltepe ,TR
Nevele ,BE
Skive ,DK
Aarhus ,DK
Santa Brigida ,IT
Växjö ,SE
"San Isidro, Spain ",ES
Beersel ,BE
Monterenzio ,IT
Durbuy ,BE
Elini ,IT
Gela ,IT
Pedro Abad ,ES
Monteleone Rocca Doria ,IT
Tulkarm ,PS
Villa Verde ,IT
Las Torres de Cotillas ,ES
Moura ,PT
Salve ,IT
Beniardà ,ES
Cartura ,IT
Montejícar ,ES
Eilat ISRAEL ,IL
Granze (Pd) ,IT
Monte di Malo ,IT
Gagliano del Capo ,IT
La Puebla de Cazalla ,ES
Tampere ,FI
Lörrach ,DE
Piazzatorre ,IT
Sant_Anna Arresi ,IT
Helsinki ,FI
Kaiserslautern ,DE
Saint,DE
Sant_ Urbano ,ES
Piazzolo ,IT
Espoo ,FI
Dundee ,GB
Aalborg ,DK
Moruzzo ,IT
Utrecht ,NL
Monistrol de Calders ,ES
Krško ,SI
Roncobello ,IT
Arzana ,IT
Morciano di Leuca ,IT
Riga ,LV
Somoniyon ,TJ
San Polo d_Enza ,IT
Andrano ,IT
Cheremule ,IT
Ossana ,IT
Balti ,GR
Monrupino,IT
Ville de Nivelles ,BE
Maldegem ,BE
Groningen ,NL
Seulo ,KR
Botkyrka ,SE
San Pietro Viminario (Pd) ,IT
Riner ,ES
Cajnice ,BA
Roveredo In Piano ,IT
Merlara ,IT
Albairate ,IT
Solesino ,IT
Tibi ,ES
Alessano ,IT
Linter ,BE
Pellizzano ,IT
Essen ,DE
Lisbon ,PT
Corsano ,IT
Urbana ,US
Oulu ,FI
Joensuu ,FI
Casalserugo ,IT
Ringkøbing,DK
"Breda, Netherlands ",NL
Hlybokaje ,BY
Giave ,IT
Cervia ,IT
Samsø ,DK
Patù ,BR
Landen ,GB
Copenhagen ,DK
Gothenburg ,SE
Nisyros (Aegean Islands) ,GR
Porsgrunn ,NO
San Giorgio di Nogaro ,IT
Moio de Calvi ,IT
Trondheim ,NO
Vedeseta ,IT
Santa Maria Nuova ,IT
Vilkaviškis ,LT
Balti ,GR
Vogogna ,IT
Peñarroya,ES
Frankenthal ,DE
Belfiore ,IT
Belvì ,IT
Kortenaken ,BE
Valtorta ,IT
Palma ,ES
Sartirana Lomellina ,IT
Dénia ,ES
Senigallia ,IT
Braslau ,BY
Kozloduy ,BG
Ornica ,IT
Dossena ,IT
Macerata ,IT
Nablus ,PS
Carona ,IT
"Birmingham, UK ",GB
Bila Tserkva ,UA
Albertslund ,DK
Halle ,DE
Tirana ,AL
Frederikshavn ,DK
Vaasa ,FI
Aberdeenshire ,GB
Münster ,IE
Genk ,BE
Menjez ,LB
Berlin ,DE
Leuven ,BE
Macerata Campania ,IT
Serre ,FR
Leeds ,GB
Vantaa ,FI
Offida ,IT
Hebron ,PS
Nilüfer ,TR
Tilburg ,NL
Kungsbacka ,SE
Jurmala ,LV
Villasimius ,IT
South Tyneside ,GB
Nikopol ,BG
Liedekerke ,BE
Delft ,NL
Villanova Tulo ,IT
Bagnolo San Vito ,IT
Gorga ,IT
Jolanda di Savoia ,IT
Luleå ,SE
Hannover ,DE
Paola ,IT
Teulada ,IT
Fontanafredda ,IT
Balsareny ,ES
Dilbeek ,BE
Isola D’Elba ,IT
Haarlem ,NL
Izegem ,BE
Bolzano ,IT
Hanau ,DE
Mezzoldo ,IT
Sant_Elena ,SH
Loiri Porto San Paolo ,IT
Basso Sulcis ,IT
Tàrbena ,ES
Bornova ,TR
Wezembeek,BE
Villa Literno ,IT
Mantova ,IT
Region Zuid,BE
Lessebo ,SE
Ærø ,FR
Brugge ,BE
Socchieve ,IT
Balones ,ES
Lennik ,BE
Bagnoli di Sopra ,IT
Bracca ,IT
Pantelleria ,IT
Oxford ,US
Urbino ,IT
Somma Lombardo ,IT
Heidelberg ,DE
Sønderborg ,DK
Taleggio ,IT
Herbeumont ,BE
Fermo ,IT
Acquappesa ,IT
Pontecchio Polesine ,IT
Vimodrone ,IT
Isola di Fondra ,IT
Averara ,IT
Kruibeke ,BE
Comunità pioniera di Arborea ,IT
Commune de Paliseul ,FR
Korthi (Aegean Islands) ,US
Ios (Aegean Islands) ,CA
Budapest,HU
Jászberény,HU
Turin,IT
Tournai,BE
