name,country_code,entity_type,iso,country
Saint,DE,City,DEU,Germany
Sant_ Urbano,ES,City,ESP,Spain
Balti,GR,City,GRC,Greece
Patù,BR,City,BRA,Brazil
Halle,DE,City,DEU,Germany
Münster,IE,City,IRL,Ireland
Serre,FR,City,FRA,France
Nikopol,BG,City,BGR,Bulgaria
Gorga,IT,City,ITA,Italy
Sant_Elena,SH,City,SHN,Saint Helena
Region Zuid,BE,City,BEL,Belgium
Ærø,FR,City,FRA,France
Oxford,US,City,USA,United States of America
Commune de Paliseul,FR,City,FRA,France
Korthi (Aegean Islands),US,City,USA,United States of America
Ios (Aegean Islands),CA,City,CAN,Canada
Tournai,BE,City,BEL,Belgium
