name,iso,net_zero_target_status,entity_type,country,coordinator_name,support_type
Pollina,ITA,"2,4",City,Italy,Region of Sicily - Department of Energy,Coordinator
Asse,BEL,"2,4",City,Belgium,Provincie Vlaams-Brabant,Coordinator
Maltepe,TUR,"2,4",City,Turkey,"Marmara Municipalities Union, TR",Supporter
Nevele,BEL,4,City,Belgium,Province of East-Flanders,Coordinator
Skive,DNK,"1,2,4",City,Denmark,NA,NA
Aarhus,DNK,"1,2,4",City,Denmark,NA,NA
Santa Brigida,ITA,"1,4",City,Italy,Comunità Valle Brembana,Coordinator
Santa Brigida,ITA,"1,4",City,Italy,Province of Bergamo,Coordinator
Växjö,SWE,"1,2,4",City,Sweden,"The Climate Municipalities (Sweden - Klimatkommunerna), SE",Supporter
"San Isidro, Spain",ESP,"1,4",City,Spain,Province of Alicante,Coordinator
Beersel,BEL,4,City,Belgium,Provincie Vlaams-Brabant,Coordinator
Monterenzio,ITA,"1,2,4",City,Italy,"AESS, IT",Supporter
Monterenzio,ITA,"1,2,4",City,Italy,Province of Bologna,Coordinator
Monterenzio,ITA,"1,2,4",City,Italy,Regione Emilia-Romagna,Coordinator
Durbuy,BEL,4,City,Belgium,Province de Luxembourg,Coordinator
Durbuy,BEL,4,City,Belgium,Région wallonne,Coordinator
Elini,ITA,"1,2,4",City,Italy,Region of Sardinia,Coordinator
Gela,ITA,"2,4",City,Italy,Region of Sicily - Department of Energy,Coordinator
Pedro Abad,ESP,"1,2,4",City,Spain,Consejería de Medio Ambiente y Ordenación del Territorio Junta de Andalucía,Coordinator
Pedro Abad,ESP,"1,2,4",City,Spain,Province of Córdoba,Coordinator
Monteleone Rocca Doria,ITA,"1,2,4",City,Italy,Province of Sassari,Coordinator
Monteleone Rocca Doria,ITA,"1,2,4",City,Italy,Region of Sardinia,Coordinator
Tulkarm,PSE,4,City,Palestine,NA,NA
Villa Verde,ITA,"1,2,4",City,Italy,NA,NA
Las Torres de Cotillas,ESP,"2,4",City,Spain,Region of Murcia,Coordinator
Moura,PRT,"2,4",City,Portugal,"Associação Nacional de Municípios Portugueses, PT",Supporter
Salve,ITA,4,City,Italy,Province of Lecce,Coordinator
Beniardà,ESP,"NA",City,Spain,Province of Alicante,Coordinator
Cartura,ITA,4,City,Italy,Province of Padova,Coordinator
Montejícar,ESP,"1,2,4",City,Spain,Consejería de Medio Ambiente y Ordenación del Territorio Junta de Andalucía,Coordinator
Montejícar,ESP,"1,2,4",City,Spain,Province of Granada,Coordinator
Eilat ISRAEL,ISR,"2,4",City,Israel,NA,NA
Granze (Pd) - Italy,ITA,3,City,Italy,Province of Padova,Coordinator
Monte di Malo,ITA,4,City,Italy,Province of Vicenza,Coordinator
