name,iso
"Fremont, CA",USA
"Urbana, IL",USA
"Asheville, NC",USA
"Boulder, CO",USA
Victoria,CAN
"Boston, MA",USA
Bristol,GBR
Stockholm,SWE
Byron Shire,AUS
"Piedmont, CA",USA
"Davis, CA",USA
"Santa Cruz, CA",USA
"Charlotte, NC",USA
Auckland,NZL
"London, UK",GBR
Mississauga,CAN
"Los Angeles, CA",USA
Orebro,SWE
"Winnipeg, MB",CAN
"Chicago, IL",USA
"Salt Lake City, UT",USA
Turku,FIN
"Tacoma, WA",USA
"Portland, OR",USA
Oslo,NOR
"Emeryville, CA",USA
Washington D.C.,USA
"Eugene, OR",USA
"Lexington, MA",USA
"Edmonton, AB",CAN
"Houston, TX",USA
Halifax,CAN
Durban,ZAF
"San Francisco, CA",USA
Riga,LVA
Mexico City,MEX
Amman,JOR
"Evanston, IL",USA
Amsterdam,NLD
Heidelberg,DEU
"Louisville, KY",USA
"Ann Arbor, MI",USA
"Philadelphia, PA",USA
"Palo Alto, CA",USA
Copenhagen,DNK
Toronto,CAN
Kristianstad,SWE
"Eau Claire, WI",USA
"New Bedford, MA",USA
"Austin, TX",USA
Adelaide,AUS
Manchester,GBR
Cape Town,ZAF
"Knoxville, TN",USA
"Hayward, CA",USA
Lisbon,PRT
"Columbus, OH",USA
"Denver, CO",USA
"Sarasota, FL",USA
Greater Manchester,GBR
Barcelona,ESP
"Cincinnati, OH",USA
"St. Catharines, ON",CAN
"Vancouver, BC",CAN
"Flagstaff, AZ",USA
"Edina, MN",USA
Saskatoon,CAN
"Orlando, FL",USA
Guelph,CAN
"Blacksburg, VA",USA
"Berkeley, CA",USA
Bath & North East Somerset,GBR
"Cupertino, CA",USA
Uppsala,SWE
"Burlingame, CA",USA
Paris,FRA
"New York City, NY",USA
"Plymouth, UK",GBR
"Kansas City, MO",USA
"St. Louis, MO",USA
Elsinore,DNK
Berlin,DEU
Louisiana,USA
Wyndham,AUS
"New Orleans, LA",USA
Sydney,AUS
"Providence, RI",USA
"Fort Collins, CO",USA
Wollongong,AUS
Melbourne,AUS
"Calgary, AB",CAN
Kampala,UGA
Trondheim,NOR
"Aspen, CO",USA
"Pittsburgh, PA",USA
Mornington Peninsula Shire,AUS
Espoo,FIN
Glasgow,GBR
"Cleveland, OH",USA
Tokyo,JPN
Buenos Aires,ARG
"Dallas, TX",USA
"Boulder County, CO",USA
Santiago,CHL
"Indianapolis, IN",USA
"Burlington, VT",USA
"Sacramento, CA",USA
"Albany, NY",USA
Pollina,ITA
Asse,BEL
Maltepe,TUR
Nevele,BEL
Skive,DNK
Aarhus,DNK
Santa Brigida,ITA
Växjö,SWE
"San Isidro, Spain",ESP
Beersel,BEL
Monterenzio,ITA
Durbuy,BEL
Elini,ITA
Gela,ITA
Pedro Abad,ESP
Monteleone Rocca Doria,ITA
Tulkarm,PSE
Villa Verde,ITA
Las Torres de Cotillas,ESP
Moura,PRT
Salve,ITA
Beniarda`,ESP
Cartura,ITA
Montejícar,ESP
Eilat ISRAEL,ISR
Granze (Pd),ITA
Monte di Malo,ITA
Gagliano del Capo,ITA
La Puebla de Cazalla,ESP
Tampere,FIN
Lörrach,DEU
Piazzatorre,ITA
Sant'Anna Arresi,ITA
Helsinki,FIN
Kaiserslautern,DEU
Saint-Nicolas,BEL
Sant'urbano,ITA
Piazzolo,ITA
Espoo,FIN
Dundee,GBR
Aalborg,DNK
Moruzzo,ITA
Utrecht,NLD
Monistrol de Calders,ESP
Krško,SVN
Roncobello,ITA
Arzana,ITA
Morciano di Leuca,ITA
Riga,LVA
