iso,entity_type,name,country,region,area,lat,lng,population,population_year,baseline_year,baseline_emissions,raw_net_zero_commitment,ghg_reduction_target,target_year,percent_reduction,initiatives_committed,net_zero_target_status,econ_wide_net_zero,pop_density,emis_per_capita,coordinator_name,support_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,Region,Aberdeenshire,United Kingdom,Europe,6313,57.16666667,-2.666666667,243510,NA,NA,NA,"Becoming a carbon neutral organisation  Our plan is spilt into four themes. Energy, Travel, Waste and Behavioural Change. We have targets of 3% reductions each year over the life of the current plan 2011-2015. This is in order to help achieve the Scottish Government's targets of a 42% reduction by 2020 and a 80% reduction by 2050. ",NA,2020,20,GlobalCovenantofMayors2019,"2,4",1,38.57278631,NA,"Convention of Scottish Local Authorities, GB",Supporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,Region,Aberdeenshire,United Kingdom,Europe,6313,57.16666667,-2.666666667,243510,NA,NA,NA,"Becoming a carbon neutral organisation  Our plan is spilt into four themes. Energy, Travel, Waste and Behavioural Change. We have targets of 3% reductions each year over the life of the current plan 2011-2015. This is in order to help achieve the Scottish Government's targets of a 42% reduction by 2020 and a 80% reduction by 2050. ",NA,2020,20,GlobalCovenantofMayors2019,"2,4",1,38.57278631,NA,Energy Saving Trust,Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,City,Acquappesa,Italy,Europe,14.45,39.5,15.95,1882,2018,2014,8575.57094,Our intention is to become Carbon Neutral by 2040,32% below 2014 levels by 2020,2020,32,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,4,1,130.2422145,4.556626429,Energia Calabria Network,Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,City,Acquappesa,Italy,Europe,14.45,39.5,15.95,1882,2018,2014,8575.57094,Our intention is to become Carbon Neutral by 2040,100% below 2014 levels by Long term,Long term,100,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,"1,4",1,130.2422145,4.556626429,Energia Calabria Network,Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,City,Adelaide,Australia,East Asia and the Pacific,3257.7,-34.92888889,138.6011111,1376601,2017,2007,1148108,Does this target align with the global 1.5 - 2°C pathway set out in the Paris agreement? Yes - 1.5 °C;Transferable emissions:  Offset credit transactions purchased from outside of the boundary - The target reflects CoA’s carbon neutral target by 2025.,NA,2020,35,Carbonn2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,NA,1,7.341375817,0.834016538,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,City,Adelaide,Australia,East Asia and the Pacific,3257.7,-34.92888889,138.6011111,1376601,2017,2007,1148108,Last year the State Government released South Australia’s Climate Change Strategy 2015–2050. It provides a framework for action to maximise the State’s opportunities for renewal and transformation and it sets a target for the state to achieve net zero emissions by 2050;,NA,2050,80,Carbonn2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,"1, 4",1,7.341375817,0.834016538,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,City,"Alameda, CA",United States of America,North America,27.0394956,37.75611111,-122.2744444,78906,2010,2005,367294,"Yes - 2 °C; Expected 16 percent reduction by 2020.; action_description1: In 2020 Alameda Municipal Power will deliver carbon neutral electricity. In 2020 this is expected to reduce annual city-wide emissions by 116,075. The annual emissions reduction relative to baseline associated with carbon neutral power will vary based on energy consumption.;;action_description2: In 2020 Alameda Municipal Power will deliver carbon neutral electricity. In 2020 this is expected to reduce annual city-wide emissions by 116,075. The annual emissions reduction relative to baseline associated with carbon neutral power will vary based on energy consumption.;;action_description3: The projects defined in the City's Transportation Choices Plan are collectively estimated to reduce CO2 emissions by 4,646 MT CO2e per year by 2030.;;action_description4: The projects defined in the City's Transportation Choices Plan are collectively estimated to reduce CO2 emissions by 4,646 MT CO2e per year by 2030.;;action_description5: Alameda Zero Waste Implementation Plan is expected to reduce GHG emissions by 1,650 MT CO2e per year by its full implementation in 2022.;;action_description6: Alameda Zero Waste Implementation Plan is expected to reduce GHG emissions by 1,650 MT CO2e per year by its full implementation in 2022.",NA,2020,25,WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,"2,4",1,2918.175737,4.654829797,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOR,City,Amman,Jordan,Middle East and North Africa,1680,31.9454,35.9284,3800000,2017,2014,7400000,"Yes - 1.5 °C; Target is to be carbon neutral by 2050Interim target 40% reduction on 2014 baseline by 2030; Amman used a scenario planning tool called CURB to identify and prioritize low carbon infrastructure and GHG reduction actions that would set the city on a path to achieving its 2050 vision (and interim 2030 target). Data from the 2014 emissions inventory was used in the creation of the model to set the city’s baseline emissions. CURB is an excel based model that uses city emission inventory data to project future emissions and suggestactions for reduction. The analysis presented here comes from the CURB model, and it helped Amman to shape its 2050 vision and action plan. The tool was developed in close coordination with the departments and units that manage infrastructure projects and policies in the Greater Amman Municipality, the government formed a technical working group that input data to the model. The actions that are selected to create the scenario are based on discussions with these departments and also reflect actions that the city is already taking. The baseline scenario is a “business as usual” projection that estimates what emission levels would be in the future with no emission reduction actions taken. The baseline uses Amman’s 2014 emissions inventory data, as well as future population and economic growth rates to project emissions. Actions were then selected in the tool for each sector to build a scenario that would reduce emissions below the baseline emission projections. Currently, the model pathway does not show that Amman can reach its 2050 near-zero emissions target. C40 considers near-zero emissions to be 0.01 tCO2e/person. Many cities who have committed to this goal are still exploring how to achieve aggressive long-term targets. The achievement gap should be used as an indication of the scale of ambition needed to achieve near-zero emissions.",NA,2030,40,CDPCities2018;Carbonn2019;C40Cities2019;GlobalCovenantofMayors2019;NAZCA,4,1,2261.904762,1.947368421,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOR,City,Amman,Jordan,Middle East and North Africa,1680,31.9454,35.9284,3800000,2017,2014,7400000,"Yes - 1.5 °C; Target is to be carbon neutral by 2050Interim target 40% reduction on 2014 baseline by 2030; Amman used a scenario planning tool called CURB to identify and prioritize low carbon infrastructure and GHG reduction actions that would set the city on a path to achieving its 2050 vision (and interim 2030 target). Data from the 2014 emissions inventory was used in the creation of the model to set the city’s baseline emissions. CURB is an excel based model that uses city emission inventory data to project future emissions and suggestactions for reduction. The analysis presented here comes from the CURB model, and it helped Amman to shape its 2050 vision and action plan. The tool was developed in close coordination with the departments and units that manage infrastructure projects and policies in the Greater Amman Municipality, the government formed a technical working group that input data to the model. The actions that are selected to create the scenario are based on discussions with these departments and also reflect actions that the city is already taking. The baseline scenario is a “business as usual” projection that estimates what emission levels would be in the future with no emission reduction actions taken. The baseline uses Amman’s 2014 emissions inventory data, as well as future population and economic growth rates to project emissions. Actions were then selected in the tool for each sector to build a scenario that would reduce emissions below the baseline emission projections. Currently, the model pathway does not show that Amman can reach its 2050 near-zero emissions target. C40 considers near-zero emissions to be 0.01 tCO2e/person. Many cities who have committed to this goal are still exploring how to achieve aggressive long-term targets. The achievement gap should be used as an indication of the scale of ambition needed to achieve near-zero emissions.",NA,2050,100,CDPCities2018;Carbonn2019;C40Cities2019;GlobalCovenantofMayors2019;NAZCA,"1,4",1,2261.904762,1.947368421,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,City,"Arlington, VA",United States of America,North America,2.7194895,38.8903961,-77.0841584,220400,2010,2007,NA,"Yes - 1.5 °C; Arlington's Community Energy Plan set forth a goal of reducing GHG emissions from 13 mt CO2e/capita in 2007 to 3.0 mt CO2e/capita in 2050. Arlington is currently updating and revising its Community Energy Plan as part of the usual updating of elements of our Comprehensive Plan.  The revised Community Energy Plan will have a 2050 target of carbon neutrality.; action_description1: Arlington County uses biodiesel and fuel efficient vehicles in its fleet, with a big push toward electric vehicles in the coming decade.;;action_description2: Arlington County and Arlington Public Schools are installing solar photovoltaic and solar thermal systems as appropriate and as funds are available; these are expected to grow significantly as legislative hurdles to solar fall in Virginia and costs become affordable.  In addition, renewable energy generation from the wastewater treatment plant is emerging as an opportunity in the decade ahead.;;action_description3: Pursuit of large off-site renewable energy purchases, through Virtual Power Purchase Agreements.  These are being explored by County government and individual private sector entities within Arlington County.;;action_description4: Arlington is committed to increasing its purchases of green power.;;action_description5: Arlington County has been implementing a strong program for retrofit and efficiency measures in County facilities, including its energy-intensive wastewater treatment facility.;;action_description6: The power grid serving Arlington is steadily improving its emission rate (Scope 2).;;action_description7: Arlington has a program in place to replace all of the County owned street lights with LEDs, and is more than half way towards this goal. Outdoor lighting on facilities and in parking lots is also retrofitted as funding is available.;;action_description8: A variety of rebate, informational, and financing programs have been offered in recent years in Arlington.;;action_description9: Since its creation in 1999, Arlington’s Green Building Density Incentive Program has led to the development of over 30 LEED® certified commercial, apartment, and hotel developments. Together these buildings are estimated to be saving millions of kilowatt-hours of energy and millions of gallons of water each year. Selection of low toxicity materials, non-smoking requirements, day lighting, and accessible on-site open space supports the health of Arlington’s workers, residents, and visitors.The most recent update to the green building program was adopted on November 15, 2014. The program adopts LEED Version 4 (projects may use LEED 2009 until September 30, 2015). Projects may still request bonus density in exchange for LEED Silver certification of higher. Commercial office buildings earning bonus density must also agree to earn Energy Star building certification within four years of occupancy. An additional 0.025 FAR is available for achieving one of eight Arlington priority credits (credit will be given for up to two priority credits). Projects designed and constructed to achieve at least LEED Gold certification plus two Arlington priority credits plus Net Zero Energy Building certification through the International Living Futures Institute may apply for bonus density above 0.55 FAR. Affordable housing projects receiving tax credits from the Virginia Housing Development Authority (VHDA) are allowed to earn bonus density using the Earthcraft green building rating system at the Gold or Platinum certification level.",NA,2050,76,GlobalCovenantofMayors2019;CDPCities2018;NAZCA,"2,4",1,81044.62253,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
