name,entity_type,country,iso,population,area,state,admin_1,initiatives_committed,lat,lng,region,baseline_emissions,baseline_year,net_zero_target_status,percent_reduction,target_year
"Asheville, NC",City,United States of America,USA,89121,117.326547,North Carolina,"Buncombe County, NC",CDPCities2018;ClimateMayors;Carbonn2019;WeAreStillIn2019;NAZCA,35.5951,-82.5515,North America,NA,2002,"1,4",80,2050
"Boulder, CO",City,United States of America,USA,105112,64.3353516,Colorado,"Boulder County, CO",WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;Carbonn2019;Under2Coalition2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,40.015,-105.2705556,North America,NA,2005,"1,2,4",80,2050
Victoria,City,Canada,CAN,85792,NA,NA,NA,Carbonn;ICLEI - Local Governments for Sustainability;GCoMCDP2020;CDPCities2018-2019;CDPCities2019,48.4284,-123.366,North America,412875,2007,"1,4",80,2050
Bristol,City,United Kingdom,GBR,441300,NA,NA,NA,Under2Coalition2019;Carbonn2019;GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,51.45,-2.583333333,Europe,2382697,2005,"1,2,4",80,Long term
"Piedmont, CA",City,United States of America,USA,11236,25.4337,California,"Alameda County, CA",GlobalCovenantofMayors2019;CDPCities2018;NAZCA,37.8243715,-122.2316349,North America,48820,2005,1,80,2050
"Santa Cruz, CA",City,United States of America,USA,64465,40.99954,California,"Santa Cruz County, CA",CDPCities2018;WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;Carbonn2019;GlobalCovenantofMayors2019;NAZCA,36.9741,-122.031,North America,427280,1990,"1,4",80,2050
"Charlotte, NC",City,United States of America,USA,809958,790.982946,North Carolina,"Mecklenburg County, NC",WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;GlobalCovenantofMayors2019;NAZCA,35.22722222,-80.84305556,North America,2015,2015,"1,2,4",85,2050
"London, UK",City,United Kingdom,GBR,8883800,1737.88329,Greater London,NA,CDPCities2018;C40Cities2019;GlobalCovenantofMayors2019;NAZCA,51.5048,-0.07868,Europe,45050000,1990,NA,"80, -7777",2040
Mississauga,City,Canada,CAN,721599,NA,NA,NA,ICLEI - Local Governments for Sustainability;CDPCities2018-2019;CDPCities2019,43.6,-79.6441,North America,7549508,1990,"1,4",80,2050
"Los Angeles, CA",City,United States of America,USA,3928864,1214.031913,California,Southern California,Under2Coalition2019;WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;C40Cities2019;Carbonn2019;GlobalCovenantofMayors2019;NAZCA,34.05,-118.25,North America,NA,1990,"1,4",80,2050
"Winnipeg, MB",City,Canada,CAN,749500,464.08,Manitoba,Winnipeg Metro Region,CDPCities2018;NAZCA,49.8997,-97.1375,North America,5379024,2011,"1,4",80,2050
"Chicago, IL",City,United States of America,USA,2722389,606,Illinois,"Cook County, IL; DuPage County, IL",Carbonn2019;WeAreStillIn2019;C40Cities2019;ClimateMayors;WeAreStillIn2019;GlobalCovenantofMayors2019;NAZCA,41.83694444,-87.68472222,North America,32300000,1990,"1, 4",80,2050
"Salt Lake City, UT",City,United States of America,USA,190884,285.9349,Utah,"Salt Lake County, UT",ClimateMayors;WeAreStillIn2019;WeAreStillIn2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,40.75,-111.883333,North America,NA,2009,"1,2,4",80,2040
Turku,City,Finland,FIN,190000,306.37,Southwest Finland,Turku sub-region,Carbonn2019;GlobalCovenantofMayors2019;EUCovenantofMayors2019;CDPCities2018;NAZCA,60.45,22.26667,Europe,1236200,1990,"1,4",80,2029
"Tacoma, WA",City,United States of America,USA,211277,161.6672,Washington,"Pierce County, WA",ClimateMayors;CDPCities2018;GlobalCovenantofMayors2019;Carbonn2019;NAZCA,47.24139,-122.4594,North America,NA,1990,"1,4",80,2050
"Portland, OR",City,United States of America,USA,639863,375.5485,Oregon,"Multnomah County, OR",C40Cities2019;ClimateMayors;WeAreStillIn2019;CDPCities2018;GlobalCovenantofMayors2019;Carbonn2019;WeAreStillIn2019;Under2Coalition2019;NAZCA,45.52,-122.6819444,North America,NA,1990,"1,4",80,2050
Oslo,City,Norway,NOR,673469,454.08,Ostlandet,NA,CDPCities2018;Carbonn2019;GlobalCovenantofMayors2019;EUCovenantofMayors2019;C40Cities2019;NAZCA,59.9139,10.7522,Europe,1200000,1990,"1,2,4",95,2030
"Emeryville, CA",City,United States of America,USA,11994,3.3151872,California,"Alameda County, CA",GlobalCovenantofMayors2019;Carbonn2019;WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;CDPCities2018;NAZCA,37.8314089,-122.2865265,North America,167071,2004,"1,2,4",80,2050
Washington D.C.,City,United States of America,USA,693972,158.1189,NA,United States,ClimateMayors;WeAreStillIn2019;WeAreStillIn2019;CDPCities2018;ClimateAlliance2019;GlobalCovenantofMayors2019;C40Cities2019;NAZCA,38.90472,-77.01639,North America,NA,2006,"1,4",80,2050
