,Ecology,Infrastructure
Aalborg,-0.030788122167482,0.9930301207924647
Aarhus,-0.3742164561139842,-0.2675883521348105
Aberdeenshire,-0.7695036605546637,-1.1498910369531363
Acquappesa,-1.0136368476861406,-0.08246306143067836
Adelaide,0.6080442118033742,0.6699900611232601
Alameda,2.04809264494137,-0.4087984858370587
Albairate,-0.7051413421547426,-0.06140295566073965
Albany,-0.25657108778641685,1.1732616084990892
Albertslund,0.2896784687386921,0.4438083623086149
Alessano,-0.6434395846293904,-0.9327316758686394
Amman,1.2396394076250152,-0.5046084602369116
Amsterdam,-0.5415852046688114,0.027683971876035655
Andrano,-0.7346933257079555,-0.4956656296159284
Ann Arbor,1.1369937047556726,0.3016939664288587
Arlington,-0.41768589266029404,0.8942965985100826
Arzana,-0.1793472016368151,-0.13346919997448042
Asheville,0.978109403592542,1.7791114899515768
Aspen,-0.4191682635064559,-0.6229494084675761
Asse,-0.08172016960781452,0.28413460891179515
Atlanta,1.1422070494117986,0.3279798358269794
Auckland,0.25828178420943104,-1.1283431780521647
Austin,1.5390729979673032,0.39946139838538025
Averara,-0.5714899315159652,0.39904647684466943
BCP Council,1.1627888378042752,-0.33480557624114127
Bagnoli di Sopra,0.4211846618159022,-0.7021937694774447
Bagnolo San Vito,-0.38634267321330157,0.682620540154023
Balones,-1.2079331601980312,1.3878214969361404
Balsareny,-0.359176956895464,-0.2041156919570108
Balti,0.41733186399842737,1.0154501673079896
Barcelona,0.9993485648708711,-0.38551851323205655
Basso Sulcis,0.3035453030608285,-0.051904595482054255
Bath & North East Somerset,0.014582094976116412,-0.4546349433724122
Beersel,-0.8745117395033369,-1.2909824161677426
Belfiore,0.20168486575386124,-0.019578256591382494
Belo Horizonte,-0.6297190652110408,-1.5538513510324872
Belvì,-0.27482545781708245,0.09153606113648481
Beniardà,-1.17498010474276,1.2779211653843738
Berkeley,-0.021685824822297674,1.0341973772865034
Berlin,-0.2709518359767655,0.40474961372895235
Bila Tserkva,-1.145781438983429,-2.5170350679391738
Birmingham,-0.5067239718157582,1.1242686316550208
Blacksburg,1.0352192783792666,0.10803460617723872
Bolzano,-0.3411965193065355,0.10464866984694556
Bornova,-0.048648052105820065,0.354703095727816
Boston,0.05393067196229524,0.7965477444041946
Boulder,2.1137377773483745,-0.478547748793541
Boulder County,1.9542039291190134,0.21789515007805535
Bracca,-0.5878064137289847,0.38265170887344585
Braslau,-0.9693759648350297,-2.631654650568878
Breda,-0.9619593655286488,-1.0915162598424708
Bristol,0.5139201784226364,-0.5078828215253424
Brugge,-0.531556775206912,1.4440021488445345
Budapest,-0.03969990261176918,0.5357322063462899
Buenos Aires,1.2547259946857454,-1.3343975705700144
Burlingame,0.9020438430283083,0.3243634221963622
Burlington,-0.8331419445612083,1.2055805766981977
Bursa,1.6420605123667515,0.0755013314074223
Byron Shire,1.4607833738395655,-0.00552382164193279
Cajnice,-0.2735535289030806,0.23473561308607158
Calgary,1.694897584515756,-0.8531936647137262
Cambridge,-0.6854838177362993,-0.3967097343673308
Cape Town,-0.391262877729961,-0.4180553690310205
Carona,-0.5878336871757599,0.5225084165865077
Cartura,0.2664896195055375,-0.6003803558493819
Casalserugo,0.35545546100419295,-0.6864725958251048
Cervia,0.25974335728625014,-0.05116164115615074
Charlotte,-0.41549490008510737,0.6535766658766533
Cheremule,-0.5640573833557032,-0.3315175102612506
Chicago,1.0804919902055632,1.5332271075245858
Cincinnati,2.108832614872548,0.46939645040210076
Cleveland,0.8220986111496524,0.639184012910933
