name,entity_type,country,iso,population,area,state,admin_1,initiatives_committed,lat,lng,region,baseline_emissions,baseline_year
"Fremont, CA",City,United States of America,USA,234962,200.6465253,California,"Alameda County, CA",GlobalCovenantofMayors2019;Carbonn2019;WeAreStillIn2019;ClimateMayors;CDPCities2018;NAZCA,37.5482697,-121.9885718,North America,1660000,2005
"Urbana, IL",City,United States of America,USA,42014,5.697978,Illinois,"Champaign County, IL",ClimateMayors;GlobalCovenantofMayors2019;Carbonn2019;NAZCA,40.10966,-88.20425,North America,NA,NA
"Alameda, CA",City,United States of America,USA,78906,27.0394956,California,"Alameda County, CA",WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,37.75611111,-122.2744444,North America,367294,2005
"Asheville, NC",City,United States of America,USA,89121,117.326547,North Carolina,"Buncombe County, NC",CDPCities2018;ClimateMayors;Carbonn2019;WeAreStillIn2019;NAZCA,35.5951,-82.5515,North America,NA,NA
"Boulder, CO",City,United States of America,USA,105112,64.3353516,Colorado,"Boulder County, CO",WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;Carbonn2019;Under2Coalition2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,40.015,-105.2705556,North America,NA,2005
Victoria,City,Canada,CAN,85792,NA,NA,NA,Carbonn;ICLEI - Local Governments for Sustainability;GCoMCDP2020;CDPCities2018-2019;CDPCities2019,48.4284,-123.366,North America,412875,2007
"Boston, MA",City,United States of America,USA,673184,232.1408037,Massachusetts,"Suffolk County, MA",ClimateMayors;WeAreStillIn2019;CDPCities2018;C40Cities2019;GlobalCovenantofMayors2019;Carbonn2019;WeAreStillIn2019;NAZCA,42.358056,-71.063611,North America,7820179,2005
Bristol,City,United Kingdom,GBR,441300,NA,NA,NA,Under2Coalition2019;Carbonn2019;GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,51.45,-2.583333333,Europe,2381745,2005
Stockholm,City,Sweden,SWE,935619,381.63,SÃ¶dermanland and Uppland,NA,GlobalCovenantofMayors2019;Carbonn2019;EUCovenantofMayors2019;C40Cities2019;CDPCities2018;NAZCA,59.3251172,18.0710935,Europe,3668000,1990
Byron Shire,City,Australia,AUS,32723,556,New South Wales,NA,Carbonn2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,-28.55,153.5,East Asia and the Pacific,18660,2015
Hong Kong,City,Hong Kong,HKG,7391700,NA,NA,NA,C40Cities2019;CDPCities2018;GlobalCovenantofMayors2019,22.2881,114.14,East Asia and the Pacific,NA,2005
"Piedmont, CA",City,United States of America,USA,11236,25.4337,California,"Alameda County, CA",GlobalCovenantofMayors2019;CDPCities2018;NAZCA,37.8243715,-122.2316349,North America,48820,2005
"Davis, CA",City,United States of America,USA,68111,25.6150011,California,"Yolo County, CA",ClimateMayors;CDPCities2018;NAZCA,38.553889,-121.738056,North America,NA,NA
Høje-Taastrup,City,Denmark,DNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Cruz, CA",City,United States of America,USA,64465,40.99954,California,"Santa Cruz County, CA",CDPCities2018;WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;Carbonn2019;GlobalCovenantofMayors2019;NAZCA,36.9741,-122.031,North America,427280,1990
"Columbia, SC",City,United States of America,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charlotte, NC",City,United States of America,USA,809958,790.982946,North Carolina,"Mecklenburg County, NC",WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;GlobalCovenantofMayors2019;NAZCA,35.22722222,-80.84305556,North America,2015,2015
Auckland,City,New Zealand,NZL,1614400,1102.9,NA,NA,GlobalCovenantofMayors2019;CDPCities2018;C40Cities2019;NAZCA,-36.8534664,174.7655514,East Asia and the Pacific,NA,NA
"London, UK",City,United Kingdom,GBR,8883800,1737.88329,Greater London,NA,CDPCities2018;C40Cities2019;GlobalCovenantofMayors2019;NAZCA,51.5048,-0.07868,Europe,45050000,1990
Mississauga,City,Canada,CAN,721599,NA,NA,NA,ICLEI - Local Governments for Sustainability;CDPCities2018-2019;CDPCities2019,43.6,-79.6441,North America,7549508,1990
"Los Angeles, CA",City,United States of America,USA,3928864,1214.031913,California,Southern California,Under2Coalition2019;WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;C40Cities2019;Carbonn2019;GlobalCovenantofMayors2019;NAZCA,34.05,-118.25,North America,9774000,1990
Orebro,City,Sweden,SWE,140000,1620,NÃ¤rke,NA,Carbonn2019;EUCovenantofMayors2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,59.27388889,15.2075,Europe,893191,2000
"Winnipeg, MB",City,Canada,CAN,749500,464.08,Manitoba,Winnipeg Metro Region,CDPCities2018;NAZCA,49.8997,-97.1375,North America,5379024,2011
Västervik,City,Sweden,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chicago, IL",City,United States of America,USA,2722389,606,Illinois,"Cook County, IL; DuPage County, IL",Carbonn2019;WeAreStillIn2019;C40Cities2019;ClimateMayors;WeAreStillIn2019;GlobalCovenantofMayors2019;NAZCA,41.83694444,-87.68472222,North America,36869456,2005
"Salt Lake City, UT",City,United States of America,USA,190884,285.9349,Utah,"Salt Lake County, UT",ClimateMayors;WeAreStillIn2019;WeAreStillIn2019;GlobalCovenantofMayors2019;CDPCities2018;NAZCA,40.75,-111.883333,North America,NA,NA
Turku,City,Finland,FIN,190000,306.37,Southwest Finland,Turku sub-region,Carbonn2019;GlobalCovenantofMayors2019;EUCovenantofMayors2019;CDPCities2018;NAZCA,60.45,22.26667,Europe,1236200,1990
Dublin,City,Ireland,IRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tacoma, WA",City,United States of America,USA,211277,161.6672,Washington,"Pierce County, WA",ClimateMayors;CDPCities2018;GlobalCovenantofMayors2019;Carbonn2019;NAZCA,47.24139,-122.4594,North America,NA,1990
"Portland, OR",City,United States of America,USA,639863,375.5485,Oregon,"Multnomah County, OR",C40Cities2019;ClimateMayors;WeAreStillIn2019;CDPCities2018;GlobalCovenantofMayors2019;Carbonn2019;WeAreStillIn2019;Under2Coalition2019;NAZCA,45.52,-122.6819444,North America,NA,1990
Oslo,City,Norway,NOR,673469,454.08,Ostlandet,NA,CDPCities2018;Carbonn2019;GlobalCovenantofMayors2019;EUCovenantofMayors2019;C40Cities2019;NAZCA,59.9139,10.7522,Europe,1200000,1990
"Emeryville, CA",City,United States of America,USA,11994,3.3151872,California,"Alameda County, CA",GlobalCovenantofMayors2019;Carbonn2019;WeAreStillIn2019;ClimateMayors;WeAreStillIn2019;CDPCities2018;NAZCA,37.8314089,-122.2865265,North America,167071,2004
